,Yoram Gnat,PhoenicianAlt,BiblePlaces,DSS (V1.1),Jack Kilmon,Brother MattithYah,sarabian,Aramaic-CTAN,Nabatean-CTAN,Peter Wilson
aleph,אאּ,),aA,0,),a,o,a,a,Aa
bet,בבּ,b,bB,B,b,b,b,b,b,Bb
gimmel,גגּ,g,gG,G,g,G,g,g,g,gpP
dalet,דדּ,d,dD,d,d,D,d,d,d,h
he,ההּ,h,hH,h,h,h,h,h,h,Ee
waw,ווּ,w,wW,w,w,,w,w,w,w
zayin,זזּ,z,zZ,z,z,Z,z,z,z,
het,ח﬷,x,xX,X,x,C,IH,H,H,THh
tet,טטּ,+,jJ,+,+,F,T,T,T,
yod,ייּ,y,yY,Y,y,Y,y,y,y,yY
kaph,ךככּ,k,kK$%^,Kk,k,K,k,k,k,Kk
lamed,ללּ,l,lL,l,l,L,l,l,l,lL
mem,םממּ,m,mM,mM,m{,M,m,m,m,m
nun,ןננּ,n,nN!,nN,n},N,n,n,n,n
samekh,ססּ,s,sS,S,s,I,S,s,s,Dd
ayin,ע﭂,(,[{,(,(,O,a,o,o,oO
pe,ףפפּ,p,pP@,pP,pv,,f,p,p,pPO
tsadi,ץצצּ,c,cC#,c,cj,E,Bx,x,x,Xx
qoph,קקּ,q,qQ,qQ,q,q,q,q,q,qQ
resh,ררּ,r,rR,r,r,r,r,r,r,rR
shin,ש,$,fFvV,,$,S,JsX,S,S,SvV
taw,תתּ,T,tT,t,t,X,t,t,t,t
