Grepheme,Hieroglyph,Proto-Semitic,Akkadian,Ancient South-Arabian,Ge'ez,Ancient North-Arabian,Ugaritic,Proto-Sinaitic,Proto-Sinaitic B,Phoenician,Paleo-Hebrew,Samaritan,Syriac,Hebrew,Judeo Arabic,Aramaic,Later Aramaic Alphabet,Nabataean,Arabic,Parthian,Palmyrene,Hatran,Elymaic,Pahlavi,Old Sogdian
aleph,𓃾,ʔ,,𐩱,አ,𐪑,𐎀,A,,𐤀,a,ࠀ,ܐ,א,א,𐡀,,𐢀,أ,𐭀,𐡠,𐣠,𐿠,𐭠,𐼀𐼀
bet,𓉐,b,b,𐩨,በ,𐪈,𐎁,B,,𐤁,b,ࠁ,ܒ,ב,בִ,𐡁,,𐢂,ب,𐭁,𐡡,𐣡,𐿡,𐭡,𐼂𐼃
gimmel,𓌙,ɡ,g,𐩴,ገ,𐪔,𐎂,G,,𐤂,g,ࠂ,ܓ,ג,גִ,𐡂,,𐢄,ج,𐭂,𐡢,𐣢,𐿢,𐭢,𐼄
dalet,𓉿,d,d,𐩵,ደ,𐪕,𐎄,D,,𐤃,d,ࠃ,ܕ,ד,ד,𐡃,,𐢅,د,𐭃,𐡣,𐣣,𐿣,𐭣,𐼘
he,𓀠,h,,𐩠,ሀ,𐪀,,H,,𐤄,h,ࠄ,ܗ,ה,ה,𐡄,,𐢇,ه,𐭄,𐡤,𐣤,𐿤,𐭤,𐼅𐼆
waw,𓌉,w,w,𐩥,ወ,𐪅,𐎆,W,,𐤅,w,ࠅ,ܘ,ו,ו,𐡅,,𐢈,و,𐭅,𐡥,𐣥,𐿥,𐭥,𐼇
zayin,𓈔,dz,,𐩸,ዘ,𐪘,𐎇,Z,,𐤆,z,ࠆ,ܙ,ז,זׄ,𐡆,,𐢉,ز,𐭆,𐡦,𐣦,𐿦,𐭦,𐼈
het,𓉗,ħ,,𐩢,ሐ,𐪂,𐎈,H,,𐤇,x,ࠇ,ܚ,ח,ח,𐡇,,𐢊,ح,𐭇,𐡧,𐣧,𐿧,𐭧,𐼉
tet,𓄤,tˤ,ṭ,𐩷,ጠ,𐪗,𐎉,J,,𐤈,j,ࠈ,ܛ,ט,ט,𐡈,,𐢋,ط,𐭈,𐡨,𐣨,𐿨,𐭨,
yod,𓂝,j,y,𐩺,የ,𐪚,𐎊,Y,,𐤉,y,ࠉ,ܝ,י,יֵ,𐡉,,𐢌,ي,𐭉,𐡩,𐣩,𐿩,𐭩,𐼊
kaph,𓂧,k,k,𐩫,ከ,𐪋,𐎋,K,,𐤊,k,ࠊ,ܟ,כ,כ,𐡊,,𐢏,ك,𐭊,𐡪,𐣪,𐿪,𐭪,𐼋
lamed,𓋿,l,l,𐩡,ለ,𐪁,𐎍,L,,𐤋,l,ࠋ,ܠ,ל,ל,𐡋,,𐢐,ل,𐭋,𐡫,𐣫,𐿫,𐭫,𐼌
mem,𓈖,m,m,𐩣,መ,𐪃,𐎎,M,,𐤌,m,ࠌ,ܡ,מ,מ,𐡌,,𐢓,م,𐭌,𐡬,𐣬,𐿬,𐭬,𐼍
nun,𓆓,n,n,𐩬,ነ,𐪌,𐎐,N,,𐤍,n,ࠍ,ܢ,נ,נׄןׄ,𐡍,,𐢕,ن,𐭍,𐡭𐡮,𐣭,𐿭,𐭭,𐼎𐼏𐼐
samekh,𓊽,s,s,𐩪,ሰ,𐪊,𐎒,S,,𐤎,s,ࠎ,ܣ,ס,ס,𐡎,,𐢖,س,𐭎,𐡯,𐣮,𐿮,𐭮,𐼑
ayin,𓁹,ʕ,,𐩲,ዐ,𐪒,𐎓,[,,𐤏,[,ࠏ,ܥ,ע,ע,𐡏,,𐢗,ع,𐭏,𐡰,𐣯,𐿯,𐭥,𐼒𐼓𐼘
pe,𓂋,p,p,𐩰,ፈ,𐪐,𐎔,P,,𐤐,p,ࠐ,ܦ,פ,פׄףׄ,𐡐,,𐢘,ف,𐭐,𐡱,𐣰,𐿰,𐭯,𐼔
tsadi,𓇑,sˤ,ṣ,𐩮,ጸ,𐪎,𐎕,C,,𐤑,c,ࠑ,ܨ,צ,צ,𐡑,,𐢙,ص,𐭑,𐡲,𐣱,𐿱,𐭰,𐼕𐼖𐼗
qoph,𓎗,q,q,𐩤,ቀ,𐪄,𐎖,Q,,𐤒,q,ࠒ,ܩ,ק,ק֔,𐡒,,𐢚,ق,𐭒,𐡳,𐣲,𐿲,,
resh,𓁶,r,r,𐩧,ረ,𐪇,𐎗,R,,𐤓,r,ࠓ,ܪ,ר,ר,𐡓,,𐢛,ر,𐭓,𐡴,,𐿳,𐭥,𐼘
shin,𓂎,s̀,š,𐩦,ሠ,𐪆,𐎝,F,,𐤔,v,ࠔ,ܫ,ש,ש֒,𐡔,,𐢝,ش,𐭔,𐡵,𐣴,𐿴,𐭱,𐼙
taw,𓏴,t,t,𐩩,ተ,𐪉,𐎚,T,,𐤕,t,ࠕ,ܬ,ת,ת֔,𐡕,,𐢞,ت,𐭕,𐡶,𐣵,𐿵,𐭲,𐼚𐼛𐼜
